Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
19,Sat Jan 27 2024,21:00,CET / UTC+0100,Olympique de Marseille,2-2,1-2,AS Monaco FC,2024-01-27T20:00:00Z
19,Sun Jan 28 2024,13:00,CET / UTC+0100,Montpellier HSC,0-0,0-0,Lille OSC,2024-01-28T12:00:00Z
19,Sun Jan 28 2024,15:00,CET / UTC+0100,Clermont Foot 63,1-1,0-1,RC Strasbourg Alsace,2024-01-28T14:00:00Z
19,Sun Jan 28 2024,15:00,CET / UTC+0100,FC Lorient,3-3,1-1,Le Havre AC,2024-01-28T14:00:00Z
19,Sun Jan 28 2024,15:00,CET / UTC+0100,Stade de Reims,0-0,0-0,FC Nantes,2024-01-28T14:00:00Z
19,Sun Jan 28 2024,17:05,CET / UTC+0100,Toulouse FC,0-2,0-1,Racing Club de Lens,2024-01-28T16:05:00Z
19,Sun Jan 28 2024,20:45,CET / UTC+0100,Paris Saint-Germain FC,2-2,2-0,Stade Brestois 29,2024-01-28T19:45:00Z
20,Fri Feb 2 2024,21:00,CET / UTC+0100,RC Strasbourg Alsace,1-2,0-1,Paris Saint-Germain FC,2024-02-02T20:00:00Z
20,Sat Feb 3 2024,17:00,CET / UTC+0100,Stade Rennais FC 1901,2-1,1-0,Montpellier HSC,2024-02-03T16:00:00Z
20,Sat Feb 3 2024,21:00,CET / UTC+0100,FC Nantes,0-1,0-0,Racing Club de Lens,2024-02-03T20:00:00Z
20,Sun Feb 4 2024,13:00,CET / UTC+0100,AS Monaco FC,1-1,0-0,Le Havre AC,2024-02-04T12:00:00Z
20,Sun Feb 4 2024,15:00,CET / UTC+0100,Lille OSC,4-0,4-0,Clermont Foot 63,2024-02-04T14:00:00Z
20,Sun Feb 4 2024,15:00,CET / UTC+0100,Stade de Reims,2-3,0-3,Toulouse FC,2024-02-04T14:00:00Z
20,Sun Feb 4 2024,15:00,CET / UTC+0100,FC Metz,1-2,1-1,FC Lorient,2024-02-04T14:00:00Z
20,Sun Feb 4 2024,17:05,CET / UTC+0100,Stade Brestois 29,0-0,0-0,OGC Nice,2024-02-04T16:05:00Z
20,Sun Feb 4 2024,20:45,CET / UTC+0100,Olympique Lyonnais,1-0,1-0,Olympique de Marseille,2024-02-04T19:45:00Z
21,Fri Feb 9 2024,21:00,CET / UTC+0100,Olympique de Marseille,1-1,0-0,FC Metz,2024-02-09T20:00:00Z
21,Sat Feb 10 2024,17:00,CET / UTC+0100,Racing Club de Lens,3-1,2-1,RC Strasbourg Alsace,2024-02-10T16:00:00Z
21,Sat Feb 10 2024,21:00,CET / UTC+0100,Paris Saint-Germain FC,3-1,2-1,Lille OSC,2024-02-10T20:00:00Z
21,Sun Feb 11 2024,13:00,CET / UTC+0100,Le Havre AC,0-1,0-0,Stade Rennais FC 1901,2024-02-11T12:00:00Z
21,Sun Feb 11 2024,15:00,CET / UTC+0100,Clermont Foot 63,1-1,0-0,Stade Brestois 29,2024-02-11T14:00:00Z
21,Sun Feb 11 2024,15:00,CET / UTC+0100,FC Lorient,2-0,0-0,Stade de Reims,2024-02-11T14:00:00Z
21,Sun Feb 11 2024,15:00,CET / UTC+0100,Toulouse FC,1-2,0-1,FC Nantes,2024-02-11T14:00:00Z
21,Sun Feb 11 2024,17:05,CET / UTC+0100,Montpellier HSC,1-2,1-0,Olympique Lyonnais,2024-02-11T16:05:00Z
21,Sun Feb 11 2024,20:45,CET / UTC+0100,OGC Nice,2-3,1-1,AS Monaco FC,2024-02-11T19:45:00Z
22,Fri Feb 16 2024,21:00,CET / UTC+0100,Olympique Lyonnais,1-0,1-0,OGC Nice,2024-02-16T20:00:00Z
22,Sat Feb 17 2024,17:00,CET / UTC+0100,Lille OSC,3-0,2-0,Le Havre AC,2024-02-17T16:00:00Z
22,Sat Feb 17 2024,21:00,CET / UTC+0100,FC Nantes,0-2,0-0,Paris Saint-Germain FC,2024-02-17T20:00:00Z
22,Sun Feb 18 2024,13:00,CET / UTC+0100,RC Strasbourg Alsace,1-3,0-2,FC Lorient,2024-02-18T12:00:00Z
22,Sun Feb 18 2024,15:00,CET / UTC+0100,AS Monaco FC,1-2,0-1,Toulouse FC,2024-02-18T14:00:00Z
